triad,polymorphism,backtracked,indicator_time,ac_time,search_time,total_time
0101101111_00_1,y,0,3.701755ms,26.558906ms,19.228378374s,19.258639035s
0111111_0000_11,y,0,4.328092ms,42.194529ms,24.079248968s,24.125771589s
011011_010000_1,y,0,3.900908ms,26.77075ms,19.612576315s,19.643247973s
101011_01000_00,y,0,3.906155ms,24.186468ms,18.94625031s,18.974342933s
01010111_0100_1,y,0,3.810888ms,21.220264ms,17.400045891s,17.425077043s
100111_01000_00,y,0,3.711419ms,25.362856ms,20.889490084s,20.918564359s
001010000_000_1,y,0,3.862578ms,28.622774ms,19.693442725s,19.725928077s
011011_01000_00,y,0,3.971476ms,23.222294ms,18.062142915s,18.089336685s
01111111_0000_1,y,0,4.097128ms,41.483819ms,23.473948846s,23.519529793s
0111111_01000_1,y,0,4.272484ms,35.322992ms,22.212505173s,22.252100649s
011010111_000_1,y,0,3.955057ms,27.510179ms,19.570913065s,19.602378301s
011010000_11_00,y,0,3.866636ms,26.866951ms,22.166417434s,22.197151021s
01101111_0000_1,y,0,4.056721ms,35.189989ms,21.220408661s,21.259655371s
0010000_01111_1,y,0,3.698561ms,34.487179ms,20.580625985s,20.618811725s
0100100_01111_1,y,0,3.850031ms,27.968386ms,19.399564795s,19.431383212s
0101111_011_000,y,0,3.8599ms,25.094006ms,18.658638431s,18.687592337s
0110000_0100_11,y,0,3.880236ms,26.29797ms,20.677319596s,20.707497802s
0111011111_00_1,y,0,4.06741ms,35.019805ms,21.785920206s,21.825007421s
00111_01000_011,y,0,4.216287ms,24.298024ms,20.363219683s,20.391733994s
01111011_0000_1,y,0,3.926798ms,33.591911ms,21.424494422s,21.462013131s
00011111_0000_1,y,0,3.89136ms,32.290565ms,24.28311862s,24.319300545s
0111011_00000_1,y,0,3.861017ms,33.905097ms,21.035945575s,21.073711689s
0110000_01111_1,y,0,3.680664ms,26.384957ms,22.199584514s,22.229650135s
01010111_011_00,y,0,3.810082ms,19.956339ms,16.975272595s,16.999039016s
010111_010000_1,y,0,3.922176ms,26.695147ms,19.344313146s,19.374930469s
0101111011_00_1,y,0,3.908072ms,27.574611ms,20.009948096s,20.041430779s
011111_11011_00,y,0,3.804581ms,30.424278ms,21.492431564s,21.526660423s
0111010111_00_1,y,0,4.024271ms,29.155092ms,19.143251363s,19.176430726s
00100000_0000_1,y,0,3.869729ms,33.521849ms,22.387701898s,22.425093476s
0110110111_00_1,y,0,3.703996ms,26.324512ms,18.873498964s,18.903527472s
0010100_01111_1,y,0,3.830456ms,27.02541ms,19.512713849s,19.543569715s
010111_10111_00,y,0,3.85485ms,26.055733ms,20.549125685s,20.579036268s
01111011_000_11,y,0,3.745772ms,32.285427ms,21.977924386s,22.013955585s
011111_011000_1,y,0,4.218704ms,29.396957ms,23.012341658s,23.045957319s
0111111111_00_1,y,0,4.006881ms,38.817638ms,24.284198665s,24.327023184s
00111_01011_000,y,0,4.228021ms,24.007249ms,20.152902846s,20.181138116s
0101111_1011_00,y,0,4.228155ms,27.884482ms,20.025292029s,20.057404666s
0111011_01000_1,y,0,3.696573ms,26.853822ms,19.163299864s,19.193850259s
0100000_1011_00,y,0,3.83583ms,30.511196ms,20.173915028s,20.208262054s
01001000_000_11,y,0,4.035159ms,30.798493ms,20.641464396s,20.676298048s
01100000_0111_1,y,0,3.848307ms,26.470819ms,21.925497906s,21.955817032s
00101000_000_11,y,0,3.683899ms,27.250161ms,19.575151541s,19.606085601s
